285.668, 130.608, 7.809,  8.207 False
285.408, 130.628, 7.836,  8.240 False
285.147, 130.648, 7.867,  8.273 False
284.884, 130.667, 7.895,  8.306 False
284.621, 130.685, 7.925,  8.339 False
284.357, 130.703, 7.952,  8.372 False
284.091, 130.720, 7.984,  8.405 False
283.825, 130.737, 8.011,  8.438 False
283.558, 130.753, 8.043,  8.471 False
283.290, 130.770, 8.071,  8.504 False
283.020, 130.785, 8.102,  8.537 False
282.750, 130.800, 8.130,  8.570 False
282.478, 130.815, 8.162,  8.603 False
282.206, 130.828, 8.189,  8.636 False
281.933, 130.841, 8.221,  8.669 False
281.658, 130.855, 8.248,  8.702 False
281.383, 130.868, 8.272,  8.735 False
281.107, 130.881, 8.291,  8.768 False
280.831, 130.893, 8.308,  8.801 False
280.554, 130.904, 8.321,  8.834 False
280.277, 130.915, 8.333,  8.867 False
279.999, 130.926, 8.343,  8.900 False
279.721, 130.936, 8.352,  8.933 False
279.443, 130.945, 8.359,  8.966 False
279.164, 130.954, 8.366,  8.999 False
278.885, 130.962, 8.371,  9.032 False
278.606, 130.970, 8.377,  9.065 False
278.327, 130.977, 8.381,  9.098 False
278.048, 130.985, 8.385,  9.131 False
277.769, 130.992, 8.388,  9.164 False
277.489, 130.998, 8.390,  9.197 False
277.210, 131.004, 8.393,  9.230 False
276.930, 131.009, 8.394,  9.263 False
276.650, 131.014, 8.396,  9.296 False
276.370, 131.018, 8.398,  9.329 False
276.091, 131.022, 8.398,  9.362 False
275.811, 131.025, 8.399,  9.395 False
275.531, 131.027, 8.400,  9.428 False
275.251, 131.030, 8.400,  9.461 False
274.971, 131.033, 8.401,  9.494 False
274.691, 131.035, 8.401,  9.527 False
274.411, 131.036, 8.400,  9.560 False
274.131, 131.037, 8.400,  9.593 False
273.851, 131.038, 8.400,  9.626 False
273.571, 131.039, 8.400,  9.659 False
273.291, 131.040, 8.399,  9.692 False
273.011, 131.039, 8.398,  9.725 False
272.731, 131.038, 8.398,  9.758 False
272.452, 131.038, 8.397,  9.791 False
272.172, 131.036, 8.397,  9.824 False
271.892, 131.035, 8.396,  9.857 False
271.612, 131.034, 8.395,  9.890 False
271.332, 131.031, 8.394,  9.923 False
271.052, 131.029, 8.393,  9.956 False
270.773, 131.026, 8.392,  9.989 False
270.493, 131.023, 8.392, 10.022 False
270.213, 131.019, 8.390, 10.055 False
269.934, 131.016, 8.389, 10.088 False
269.654, 131.012, 8.389, 10.121 False
269.375, 131.008, 8.388, 10.154 False
269.095, 131.003, 8.387, 10.187 False
268.816, 130.998, 8.386, 10.220 False
268.536, 130.992, 8.384, 10.253 False
268.257, 130.987, 8.384, 10.286 False
267.977, 130.982, 8.383, 10.319 False
267.698, 130.976, 8.382, 10.352 False
267.419, 130.969, 8.380, 10.385 False
267.140, 130.963, 8.380, 10.418 False
266.860, 130.957, 8.379, 10.451 False
266.581, 130.950, 8.378, 10.484 False
266.302, 130.943, 8.377, 10.517 False
266.023, 130.936, 8.376, 10.550 False
265.744, 130.928, 8.375, 10.583 False
265.465, 130.921, 8.374, 10.616 False
265.186, 130.914, 8.373, 10.649 False
264.907, 130.906, 8.372, 10.682 False
264.628, 130.898, 8.371, 10.715 False
264.349, 130.890, 8.371, 10.748 False
264.070, 130.882, 8.370, 10.781 False
263.791, 130.874, 8.369, 10.814 False
263.513, 130.865, 8.368, 10.847 False
263.234, 130.856, 8.367, 10.880 False
262.955, 130.847, 8.366, 10.913 False
262.676, 130.839, 8.366, 10.946 False
262.398, 130.829, 8.365, 10.979 False
262.119, 130.820, 8.364, 11.012 False
261.840, 130.811, 8.363, 11.045 False
261.562, 130.802, 8.363, 11.078 False
261.283, 130.792, 8.362, 11.111 False
261.005, 130.782, 8.361, 11.144 False
260.726, 130.771, 8.361, 11.177 False
260.448, 130.761, 8.360, 11.210 False
260.169, 130.751, 8.359, 11.243 False
259.891, 130.740, 8.359, 11.276 False
259.612, 130.730, 8.358, 11.309 False
259.334, 130.719, 8.357, 11.342 False
259.056, 130.708, 8.357, 11.375 False
258.777, 130.697, 8.356, 11.408 False
258.499, 130.687, 8.356, 11.441 False
258.221, 130.676, 8.355, 11.474 False
257.942, 130.664, 8.355, 11.507 False
257.664, 130.653, 8.354, 11.540 False
257.386, 130.642, 8.354, 11.573 False
257.108, 130.630, 8.353, 11.606 False
256.830, 130.619, 8.353, 11.639 False
256.551, 130.607, 8.352, 11.672 False
256.273, 130.595, 8.352, 11.705 False
255.995, 130.584, 8.351, 11.738 False
255.717, 130.572, 8.351, 11.771 False
255.439, 130.560, 8.350, 11.804 False
255.161, 130.548, 8.350, 11.837 False
254.883, 130.536, 8.349, 11.870 False
254.605, 130.524, 8.349, 11.903 False
254.327, 130.512, 8.349, 11.936 False
254.049, 130.500, 8.348, 11.969 False
253.771, 130.487, 8.348, 12.002 False
253.493, 130.475, 8.348, 12.035 False
253.215, 130.463, 8.347, 12.068 False
252.937, 130.450, 8.347, 12.101 False
252.659, 130.438, 8.346, 12.134 False
252.381, 130.425, 8.346, 12.167 False
252.103, 130.413, 8.346, 12.200 False
251.825, 130.400, 8.345, 12.233 False
251.547, 130.388, 8.345, 12.266 False
251.269, 130.375, 8.345, 12.299 False
250.991, 130.363, 8.345, 12.332 False
250.714, 130.350, 8.344, 12.365 False
250.436, 130.337, 8.344, 12.398 False
250.158, 130.325, 8.344, 12.431 False
249.880, 130.312, 8.343, 12.464 False
249.602, 130.299, 8.343, 12.497 False
249.324, 130.286, 8.343, 12.530 False
249.047, 130.274, 8.343, 12.563 False
248.769, 130.261, 8.342, 12.596 False
248.491, 130.248, 8.342, 12.629 False
248.213, 130.235, 8.342, 12.662 False
247.936, 130.221, 8.342, 12.695 False
247.658, 130.208, 8.341, 12.728 False
247.380, 130.195, 8.341, 12.761 False
247.102, 130.182, 8.341, 12.794 False
246.825, 130.169, 8.341, 12.827 False
246.547, 130.156, 8.341, 12.860 False
246.269, 130.143, 8.341, 12.893 False
245.992, 130.130, 8.340, 12.926 False
245.714, 130.117, 8.340, 12.959 False
245.436, 130.104, 8.340, 12.992 False
245.158, 130.091, 8.340, 13.025 False
244.881, 130.078, 8.340, 13.058 False
244.603, 130.066, 8.339, 13.091 False
244.325, 130.053, 8.339, 13.124 False
244.048, 130.040, 8.339, 13.157 False
243.770, 130.027, 8.339, 13.190 False
243.492, 130.014, 8.339, 13.223 False
243.215, 130.001, 8.339, 13.256 False
242.937, 129.989, 8.339, 13.289 False
242.659, 129.976, 8.338, 13.322 False
242.382, 129.963, 8.338, 13.355 False
242.104, 129.951, 8.338, 13.388 False
241.826, 129.938, 8.338, 13.421 False
241.549, 129.926, 8.338, 13.454 False
241.271, 129.913, 8.338, 13.487 False
240.993, 129.901, 8.338, 13.520 False
240.716, 129.889, 8.338, 13.553 False
240.438, 129.876, 8.337, 13.586 False
240.160, 129.864, 8.337, 13.619 False
239.883, 129.852, 8.337, 13.652 False
239.605, 129.840, 8.337, 13.685 False
239.328, 129.827, 8.337, 13.718 False
239.050, 129.815, 8.337, 13.751 False
238.772, 129.803, 8.337, 13.784 False
238.495, 129.792, 8.337, 13.817 False
238.217, 129.780, 8.336, 13.850 False
237.939, 129.769, 8.336, 13.883 False
237.662, 129.757, 8.336, 13.916 False
237.384, 129.746, 8.336, 13.949 False
237.106, 129.734, 8.336, 13.982 False
236.829, 129.723, 8.336, 14.015 False
236.551, 129.712, 8.336, 14.048 False
236.273, 129.701, 8.336, 14.081 False
235.996, 129.689, 8.336, 14.114 False
235.718, 129.678, 8.336, 14.147 False
235.440, 129.667, 8.336, 14.180 False
235.163, 129.656, 8.336, 14.213 False
234.885, 129.646, 8.336, 14.246 False
234.607, 129.635, 8.336, 14.279 False
234.330, 129.624, 8.336, 14.312 False
234.052, 129.614, 8.335, 14.345 False
233.775, 129.603, 8.335, 14.378 False
233.497, 129.593, 8.335, 14.411 False
233.219, 129.582, 8.335, 14.444 False
232.942, 129.572, 8.335, 14.477 False
232.664, 129.562, 8.335, 14.510 False
232.386, 129.552, 8.335, 14.543 False
232.109, 129.542, 8.335, 14.576 False
231.831, 129.532, 8.335, 14.609 False
231.553, 129.522, 8.335, 14.642 False
231.276, 129.512, 8.335, 14.675 False
230.998, 129.502, 8.335, 14.708 False
230.720, 129.493, 8.335, 14.741 False
230.443, 129.483, 8.335, 14.774 False
230.165, 129.474, 8.335, 14.807 False
229.887, 129.465, 8.335, 14.840 False
229.610, 129.455, 8.335, 14.873 False
229.332, 129.446, 8.335, 14.906 False
229.054, 129.437, 8.335, 14.939 False
228.777, 129.428, 8.335, 14.972 False
228.499, 129.419, 8.334, 15.005 False
228.221, 129.411, 8.334, 15.038 False
227.944, 129.402, 8.334, 15.071 False
227.666, 129.393, 8.334, 15.104 False
227.388, 129.385, 8.334, 15.137 False
227.111, 129.376, 8.334, 15.170 False
226.833, 129.368, 8.334, 15.203 False
226.555, 129.360, 8.334, 15.236 False
226.277, 129.352, 8.334, 15.269 False
226.000, 129.345, 8.334, 15.302 False
225.722, 129.337, 8.334, 15.335 False
225.444, 129.329, 8.334, 15.368 False
225.167, 129.322, 8.334, 15.401 False
224.889, 129.314, 8.334, 15.434 False
224.611, 129.307, 8.334, 15.467 False
224.334, 129.300, 8.334, 15.500 False
224.056, 129.293, 8.334, 15.533 False
223.778, 129.286, 8.334, 15.566 False
223.500, 129.279, 8.334, 15.599 False
223.223, 129.272, 8.334, 15.632 False
222.945, 129.266, 8.334, 15.665 False
222.667, 129.259, 8.334, 15.698 False
222.390, 129.253, 8.334, 15.731 False
222.112, 129.247, 8.334, 15.764 False
221.834, 129.241, 8.334, 15.797 False
221.556, 129.235, 8.334, 15.830 False
221.279, 129.229, 8.334, 15.863 False
221.001, 129.223, 8.334, 15.896 False
220.723, 129.217, 8.334, 15.929 False
220.445, 129.211, 8.334, 15.962 False
220.168, 129.206, 8.334, 15.995 False
219.890, 129.200, 8.334, 16.028 False
219.612, 129.195, 8.334, 16.061 False
219.334, 129.190, 8.333, 16.094 False
219.057, 129.186, 8.333, 16.127 False
218.779, 129.181, 8.334, 16.160 False
218.501, 129.176, 8.334, 16.193 False
218.223, 129.171, 8.334, 16.226 False
217.946, 129.167, 8.334, 16.259 False
217.668, 129.162, 8.334, 16.292 False
217.390, 129.158, 8.334, 16.325 False
217.113, 129.154, 8.334, 16.358 False
216.835, 129.149, 8.334, 16.391 False
216.557, 129.145, 8.334, 16.424 False
216.279, 129.141, 8.334, 16.457 False
216.001, 129.137, 8.333, 16.490 False
215.724, 129.134, 8.333, 16.523 False
215.446, 129.130, 8.333, 16.556 False
215.168, 129.127, 8.333, 16.589 False
214.890, 129.124, 8.333, 16.622 False
214.613, 129.120, 8.333, 16.655 False
214.335, 129.117, 8.333, 16.688 False
214.057, 129.114, 8.333, 16.721 False
213.779, 129.111, 8.333, 16.754 False
213.502, 129.108, 8.333, 16.787 False
213.224, 129.105, 8.333, 16.820 False
212.946, 129.103, 8.333, 16.853 False
212.668, 129.100, 8.333, 16.886 False
212.390, 129.097, 8.333, 16.919 False
212.113, 129.095, 8.333, 16.952 False
211.835, 129.093, 8.333, 16.985 False
211.557, 129.090, 8.333, 17.018 False
211.279, 129.088, 8.333, 17.051 False
211.002, 129.086, 8.333, 17.084 False
210.724, 129.084, 8.333, 17.117 False
210.446, 129.082, 8.333, 17.150 False
210.168, 129.080, 8.333, 17.183 False
209.890, 129.078, 8.333, 17.216 False
209.613, 129.077, 8.333, 17.249 False
209.335, 129.076, 8.333, 17.282 False
209.057, 129.074, 8.333, 17.315 False
208.779, 129.073, 8.333, 17.348 False
208.502, 129.072, 8.333, 17.381 False
208.224, 129.071, 8.333, 17.414 False
207.946, 129.070, 8.333, 17.447 False
207.668, 129.069, 8.333, 17.480 False
207.390, 129.068, 8.333, 17.513 False
207.113, 129.067, 8.333, 17.546 False
206.835, 129.066, 8.333, 17.579 False
206.557, 129.066, 8.333, 17.612 False
206.279, 129.065, 8.333, 17.645 False
206.002, 129.065, 8.333, 17.678 False
205.724, 129.064, 8.333, 17.711 False
205.446, 129.064, 8.333, 17.744 False
205.168, 129.064, 8.333, 17.777 False
204.891, 129.064, 8.333, 17.810 False
204.613, 129.064, 8.333, 17.843 False
204.335, 129.064, 8.333, 17.876 False
204.057, 129.064, 8.333, 17.909 False
203.779, 129.064, 8.333, 17.942 False
203.502, 129.064, 8.333, 17.975 False
203.224, 129.064, 8.333, 18.008 False
202.946, 129.064, 8.333, 18.041 False
202.668, 129.065, 8.333, 18.074 False
202.391, 129.065, 8.333, 18.107 False
202.113, 129.066, 8.333, 18.140 False
201.835, 129.066, 8.333, 18.173 False
201.557, 129.067, 8.333, 18.206 False
201.279, 129.067, 8.333, 18.239 False
201.002, 129.068, 8.333, 18.272 False
200.724, 129.069, 8.333, 18.305 False
200.446, 129.071, 8.333, 18.338 False
200.168, 129.072, 8.333, 18.371 False
199.891, 129.073, 8.333, 18.404 False
199.613, 129.074, 8.333, 18.437 False
199.335, 129.076, 8.333, 18.470 False
199.057, 129.077, 8.333, 18.503 False
198.779, 129.078, 8.333, 18.536 False
198.502, 129.080, 8.333, 18.569 False
198.224, 129.081, 8.333, 18.602 False
197.946, 129.083, 8.333, 18.635 False
197.668, 129.085, 8.333, 18.668 False
197.391, 129.086, 8.333, 18.701 False
197.113, 129.088, 8.333, 18.734 False
196.835, 129.090, 8.333, 18.767 False
196.557, 129.092, 8.333, 18.800 False
196.279, 129.094, 8.333, 18.833 False
196.002, 129.096, 8.333, 18.866 False
195.724, 129.098, 8.333, 18.899 False
195.446, 129.100, 8.333, 18.932 False
195.168, 129.102, 8.333, 18.965 False
194.891, 129.104, 8.333, 18.998 False
194.613, 129.106, 8.333, 19.031 False
194.335, 129.109, 8.333, 19.064 False
194.057, 129.112, 8.333, 19.097 False
